@relation Dataset_T2_16d_REL_BIN-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute wavelet_HLL_glcm_Imc1 numeric
@attribute wavelet_HLL_glcm_Imc2 numeric
@attribute original_ngtdm_Coarseness numeric
@attribute wavelet_HLL_glrlm_LongRunEmphasis numeric
@attribute wavelet_HLL_glcm_Correlation numeric
@attribute wavelet_HLL_glrlm_ShortRunEmphasis numeric
@attribute original_glszm_LowGrayLevelZoneEmphasis numeric
@attribute wavelet_HLL_glcm_InverseVariance numeric
@attribute original_glszm_SizeZoneNonUniformityNormalized numeric
@attribute wavelet_LLH_glcm_Correlation numeric
@attribute wavelet_HLL_glcm_DifferenceAverage numeric
@attribute wavelet_LLH_glcm_InverseVariance numeric
@attribute wavelet_HLL_glrlm_RunEntropy numeric
@attribute wavelet_HLL_glrlm_RunVariance numeric
@attribute wavelet_LLH_glrlm_RunEntropy numeric
@attribute wavelet_LLH_glcm_Imc2 numeric
@attribute label {0,1}

@data
0.411525,0.77203,0,0.589687,0.778192,0.275475,0.156992,0.23768,0.026087,0.226016,0.237538,0.780033,0.763975,0.550039,0.259692,0.143353,0
0.376444,0.792183,0,0.574174,0.797343,0.196033,0.203358,0.219409,0.040721,0.222115,0.219277,0.778686,0.763815,0.494494,0.242902,0.134237,0
0.349102,0.810846,0,0.579905,0.687987,0.279933,0.182931,0.266966,0.019564,0.184417,0.329778,0.8133,0.841263,0.54925,0.262926,0.089351,0
0.337414,0.816805,0,0.643962,0.683591,0.315834,0.262368,0.259055,0.152152,0.243827,0.330948,0.752393,0.859269,0.656363,0.32344,0.146756,0
0.433497,0.754111,0,0.502878,0.678539,0.310015,0.203358,0.292988,0.106126,0.306215,0.335362,0.693869,0.787165,0.462472,0.334434,0.227885,0
0.656991,0.592833,0,0.263247,0.615842,0.407452,0.291873,0.400808,0.215135,0.118856,0.400568,0.892,0.551128,0.223172,0.088025,0.120511,0
0.613712,0.627747,1,0.355571,0.6471,0.430835,1,0.366673,1,0.112965,0.366453,0.890784,0.601626,0.34927,0.107765,0.10967,0
0.565029,0.66899,0,0.382602,0.68333,0.310412,0.557421,0.331612,0.454955,0.185787,0.331413,0.82295,0.644143,0.327533,0.180269,0.084069,0
0.601886,0.616426,0,0.412613,0.640651,0.421446,0.336131,0.368002,0.182432,0.173974,0.367781,0.829614,0.609269,0.422749,0.160796,0.082262,0
0.467079,0.736924,0,0.332105,0.526809,0.490517,0.16691,0.379232,0.102279,0.239486,0.496715,0.751037,0.691307,0.362838,0.216243,0.164273,0
0.73959,0.523216,1,0.250669,0.556432,0.616541,1,0.427592,1,0.303115,0.427335,0.655231,0.50451,0.277117,0.259824,0.22332,1
0.696761,0.558697,1,0.337422,0.587676,0.577746,1,0.401456,1,0.368519,0.401215,0.608928,0.565809,0.371826,0.367914,0.296296,1
0.705921,0.554688,1,0.345098,0.582209,0.606734,1,0.4286,1,0.370439,0.428343,0.615236,0.569987,0.39949,0.404879,0.289123,1
0.751426,0.508645,1,0.257623,0.543279,0.644647,1,0.4572,1,0.324746,0.456926,0.643696,0.512879,0.292926,0.320302,0.249944,1
0.473714,0.723741,0,0.490931,0.734558,0.286754,0.557421,0.286693,0.454955,0.201839,0.286521,0.808608,0.702428,0.446075,0.195798,0.117056,1
0.465116,0.735767,1,0.533758,0.744386,0.333556,1,0.277223,1,0.238255,0.277057,0.767275,0.711157,0.535036,0.236376,0.157143,1
0.251678,0.864789,0,0.833331,0.865592,0.173577,0.557421,0.158592,0.454955,0.128223,0.158497,0.884787,0.853337,0.836645,0.143099,0.056684,1
0.403708,0.775528,1,0.604109,0.781264,0.23267,1,0.240003,1,0.265895,0.239859,0.743022,0.762644,0.573442,0.285458,0.182866,1
0.429916,0.757233,0,0.536438,0.764806,0.234066,0.557421,0.253758,0.454955,0.319877,0.253605,0.691541,0.748136,0.475314,0.316301,0.246408,1
0.270832,0.862412,0,0.751306,0.862474,0.280353,0.203358,0.150941,0.106126,0.302169,0.15085,0.693355,0.847193,0.742364,0.296903,0.21574,1
0.258926,0.876465,0,0.795767,0.873814,0.330217,0.188605,0.143606,0.031031,0.268257,0.14352,0.730725,0.877121,0.823871,0.261628,0.22373,1
0.426213,0.769062,0,0.642901,0.773903,0.356921,0.213193,0.244662,0.057947,0.305985,0.244515,0.696794,0.784022,0.663293,0.359536,0.209441,1
0.564503,0.672473,0,0.461709,0.686069,0.470066,0.291873,0.328197,0.127928,0.27248,0.328,0.724522,0.674047,0.490347,0.285786,0.170398,1
0.539067,0.693093,0,0.495454,0.70446,0.496017,0.262368,0.308506,0.091592,0.345971,0.308321,0.639689,0.691915,0.532393,0.37696,0.261026,1
0.602543,0.636949,1,0.391624,0.65526,0.380066,1,0.358395,1,0.062413,0.35818,0.944198,0.638339,0.365546,0.082485,0.040397,0
0.673241,0.576997,1,0.342451,0.602307,0.385515,1,0.412915,1,0.102661,0.412667,0.90962,0.593675,0.329116,0.150995,0.034297,0
0.703814,0.560182,1,0.296156,0.586075,0.413151,1,0.429483,1,0.138028,0.429225,0.869624,0.585456,0.26692,0.180245,0.038974,0
0.670763,0.584788,1,0.344033,0.608333,0.413447,1,0.406748,1,0.153274,0.406504,0.858668,0.612537,0.327659,0.17766,0.105554,0
0.729727,0.51783,0,0.281782,0.550173,0.449896,0.557421,0.455407,0.454955,0.168202,0.456123,0.827872,0.548435,0.269913,0.179331,0.089986,0
0.63363,0.616282,1,0.271177,0.636191,0.48714,1,0.377718,1,0.144097,0.377492,0.855774,0.552479,0.26674,0.057927,0.089137,0
0.617021,0.623729,1,0.285069,0.643344,0.450732,1,0.375839,1,0.154124,0.375613,0.847257,0.561794,0.269277,0.089419,0.132565,0
0.59029,0.621973,1,0.385674,0.584587,0.482269,1,0.399122,1,0.088929,0.428857,0.918835,0.604315,0.424853,0.06356,0.024389,0
0.63619,0.588967,1,0.347634,0.587891,0.466695,1,0.414871,1,0.112716,0.427429,0.889915,0.592588,0.354292,0.101192,0.016636,0
0.610161,0.63535,0.000002,0.340674,0.653049,0.416577,0.557421,0.36175,0.454955,0.232642,0.361533,0.770158,0.616503,0.318281,0.200231,0.158075,0
0.610788,0.633617,0,0.353849,0.652133,0.425042,0.409894,0.356588,0.273273,0.062331,0.356375,0.944701,0.598246,0.346957,0.074928,0.155665,1
0.557914,0.647268,0,0.500245,0.607913,0.467013,0.241293,0.370789,0.332598,0.141867,0.400397,0.843583,0.680663,0.559196,0.190175,0.080977,1
0.484182,0.700561,0,0.514188,0.611651,0.429743,0.291873,0.350011,0.127928,0.180931,0.403017,0.802841,0.708718,0.56556,0.231064,0.07767,1
0.43105,0.755723,0,0.458863,0.581765,0.437749,0.241293,0.341968,0.332598,0.17208,0.438256,0.813687,0.736674,0.493415,0.194937,0.09021,1
0.560487,0.674657,0,0.367425,0.688098,0.375979,0.336131,0.326634,0.318694,0.167191,0.326438,0.832341,0.623307,0.338392,0.12739,0.109294,0
0.53715,0.682877,0,0.39522,0.697155,0.339619,0.409894,0.317133,0.273273,0.166191,0.316943,0.831292,0.642854,0.347277,0.155516,0.140665,0
0.609214,0.632141,1,0.33444,0.650761,0.370015,1,0.364851,1,0.217587,0.364632,0.789356,0.612136,0.285762,0.217845,0.130788,0
0.608087,0.633437,1,0.342977,0.65166,0.406765,1,0.366595,1,0.213395,0.366375,0.796552,0.599567,0.324958,0.198433,0.124407,0
