@relation Dataset_T2_40d_REL_BIN-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute wavelet_HLL_glcm_Imc1 numeric
@attribute wavelet_HLL_glcm_Imc2 numeric
@attribute original_ngtdm_Coarseness numeric
@attribute wavelet_HLL_glrlm_LongRunEmphasis numeric
@attribute wavelet_HLL_glcm_Correlation numeric
@attribute wavelet_HLL_glrlm_ShortRunEmphasis numeric
@attribute original_glszm_LowGrayLevelZoneEmphasis numeric
@attribute wavelet_HLL_glcm_InverseVariance numeric
@attribute original_glszm_SizeZoneNonUniformityNormalized numeric
@attribute wavelet_LLH_glcm_Correlation numeric
@attribute wavelet_HLL_glcm_DifferenceAverage numeric
@attribute wavelet_LLH_glcm_InverseVariance numeric
@attribute wavelet_HLL_glrlm_RunEntropy numeric
@attribute wavelet_HLL_glrlm_RunVariance numeric
@attribute wavelet_LLH_glrlm_RunEntropy numeric
@attribute wavelet_LLH_glcm_Imc2 numeric
@attribute wavelet_HLL_glcm_Contrast numeric
@attribute wavelet_LLH_glcm_MCC numeric
@attribute wavelet_HLL_glcm_MCC numeric
@attribute wavelet_HLL_gldm_LargeDependenceEmphasis numeric
@attribute wavelet_HLL_glrlm_RunPercentage numeric
@attribute wavelet_HLL_glrlm_RunLengthNonUniformityNormalized numeric
@attribute wavelet_HLL_glcm_ClusterTendency numeric
@attribute log_sigma_2_0_mm_3D_firstorder_Skewness numeric
@attribute wavelet_LLH_gldm_LargeDependenceEmphasis numeric
@attribute wavelet_LLH_gldm_DependenceNonUniformityNormalized numeric
@attribute log_sigma_2_5_mm_3D_firstorder_Skewness numeric
@attribute wavelet_LLH_glrlm_RunPercentage numeric
@attribute wavelet_LLH_gldm_DependenceVariance numeric
@attribute wavelet_LLL_glrlm_ShortRunLowGrayLevelEmphasis numeric
@attribute wavelet_LLH_glrlm_RunLengthNonUniformityNormalized numeric
@attribute wavelet_HLL_gldm_SmallDependenceEmphasis numeric
@attribute wavelet_HHL_glrlm_LongRunEmphasis numeric
@attribute log_sigma_2_0_mm_3D_glcm_Imc1 numeric
@attribute wavelet_HLL_glcm_DifferenceEntropy numeric
@attribute log_sigma_1_5_mm_3D_firstorder_Skewness numeric
@attribute original_glcm_Correlation numeric
@attribute wavelet_HHL_glrlm_LongRunHighGrayLevelEmphasis numeric
@attribute wavelet_HLL_firstorder_RobustMeanAbsoluteDeviation numeric
@attribute original_glcm_MCC numeric
@attribute label {0,1}

@data
0.515418,0.693671,0.000001,0.530522,0.707611,0.271016,0.557421,0.309608,0.454955,0.350011,0.309422,0.623542,0.704891,0.503127,0.399914,0.28319,0.30921,0.275902,0.580571,0.712845,0.262274,0.222166,0.552787,0.474208,0.483511,0.405894,0.484731,0.440879,0.415563,0.801676,0.405799,0.170132,0.242436,0.426771,0.428357,0.45382,0.000068,0.274256,0.142624,0.000027,1
0.57532,0.649361,1,0.452771,0.667675,0.336738,1,0.348456,1,0.307564,0.348247,0.674271,0.648087,0.436923,0.334211,0.235337,0.348008,0.228616,0.539704,0.658436,0.313929,0.276362,0.521467,0.300688,0.4213,0.478031,0.357454,0.496363,0.345228,0.853775,0.457374,0.200056,0.196305,0.692514,0.474084,0.255999,1,0.208826,0.110567,1,1
0.541551,0.673747,1,0.477637,0.690211,0.336922,1,0.320522,1,0.275072,0.320329,0.702467,0.672001,0.459288,0.294185,0.192973,0.32011,0.192419,0.562766,0.686609,0.292246,0.2631,0.528025,0.405747,0.392885,0.534606,0.456745,0.521968,0.31302,0.768326,0.481356,0.213683,0.233193,0.590533,0.442168,0.325399,1,0.245482,0.131514,1,1
0.525485,0.694233,1,0.424457,0.706513,0.369859,1,0.313112,1,0.26552,0.312924,0.725409,0.657959,0.401843,0.257492,0.193111,0.31271,0.192585,0.579448,0.673981,0.312363,0.272393,0.55649,0.501593,0.353712,0.456829,0.559318,0.570006,0.360723,0.594852,0.517965,0.268816,0.188433,0.575792,0.438551,0.395916,1,0.200731,0.109019,1,0
0.564488,0.66862,1,0.400401,0.682823,0.334943,1,0.337011,1,0.221342,0.336809,0.765571,0.649336,0.368393,0.230436,0.13035,0.336578,0.132563,0.555205,0.658541,0.317145,0.266862,0.539226,0.485171,0.329012,0.625069,0.495769,0.582203,0.255531,0.721187,0.532199,0.262407,0.228669,0.407213,0.46904,0.439117,1,0.259219,0.106468,1,0
0.620251,0.623748,1,0.371788,0.64301,0.392056,1,0.375856,1,0.217003,0.375631,0.773698,0.629001,0.345095,0.249112,0.127913,0.375373,0.127729,0.514463,0.638851,0.337641,0.297529,0.507941,0.304195,0.338083,0.680139,0.351723,0.56934,0.232323,0.784633,0.55029,0.275788,0.207754,0.545859,0.511551,0.229489,1,0.222727,0.111623,1,0
0.587923,0.653001,0,0.386822,0.668417,0.366386,0.409894,0.351231,0.273273,0.234951,0.351021,0.753596,0.661068,0.337286,0.281314,0.147824,0.35078,0.147723,0.540463,0.666544,0.312047,0.272102,0.528251,0.028381,0.369576,0.493954,0,0.553186,0.361509,0.743018,0.496841,0.224949,0.24296,0.759461,0.487099,0.086395,0.130791,0.266649,0.119284,0.130993,0
0.605501,0.636598,0,0.381276,0.65442,0.34003,0.291873,0.362073,0.215135,0.2967,0.361855,0.704523,0.651936,0.329916,0.340716,0.222243,0.361607,0.216513,0.526139,0.660963,0.312015,0.267317,0.512246,0.196779,0.413013,0.508512,0.083541,0.503702,0.335008,0.788614,0.453316,0.211673,0.242706,0.627509,0.49775,0.255265,0.110547,0.261735,0.12284,0.110807,0
0.503357,0.713434,0,0.432161,0.723493,0.361461,0.155076,0.294067,0.148649,0.16543,0.29389,0.832625,0.668612,0.397795,0.135964,0.130865,0.293689,0.131177,0.596824,0.682879,0.299285,0.272095,0.565043,0.784079,0.25666,0.567509,0.692523,0.660783,0.256311,0.236546,0.597652,0.335715,0.25933,0.368972,0.419023,0.868924,0.598854,0.303025,0.185545,0.598802,0
0.55926,0.670067,0,0.39346,0.684504,0.338847,0.173852,0.335502,0.0601,0.173073,0.3353,0.828868,0.65478,0.340057,0.185862,0.141326,0.33507,0.13809,0.556926,0.66483,0.311387,0.27759,0.540807,0.711006,0.283332,0.573076,0.622149,0.629225,0.238646,0.286148,0.578408,0.269093,0.294163,0.534084,0.465193,0.754325,0.532001,0.29987,0.199665,0.53194,0
