@relation Dataset_T2_6d_REL_BIN-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute wavelet_HLL_glcm_Imc1 numeric
@attribute wavelet_HLL_glcm_Imc2 numeric
@attribute original_ngtdm_Coarseness numeric
@attribute wavelet_HLL_glrlm_LongRunEmphasis numeric
@attribute wavelet_HLL_glcm_Correlation numeric
@attribute wavelet_HLL_glrlm_ShortRunEmphasis numeric
@attribute label {0,1}

@data
0.263153,0.868315,0.000002,0.782459,0.867171,0.252481,0
0.591434,0.650808,1,0.429817,0.666842,0.52163,0
0.623631,0.620361,1,0.346564,0.641095,0.550045,0
0.594015,0.640286,0,0.374709,0.659431,0.350784,0
0.660935,0.593201,0,0.312354,0.616085,0.36123,0
0.450713,0.743902,0,0.523147,0.752439,0.276293,0
0.670279,0.580194,0,0.295669,0.605274,0.37443,0
0.576856,0.646382,0,0.389725,0.665459,0.427375,0
0.559769,0.654773,0,0.412547,0.673727,0.375349,0
0.571524,0.649043,0,0.377293,0.668239,0.373981,0
0.518275,0.696604,1,0.399097,0.709441,0.315755,0
0.549314,0.660052,0.000001,0.441213,0.678988,0.335657,0
0.615578,0.594797,1,0.451435,0.607886,0.480691,0
0.624915,0.619197,1,0.345747,0.639704,0.385466,0
0.573695,0.655942,1,0.413322,0.672984,0.355718,0
0.603674,0.635715,1,0.413464,0.654568,0.352495,0
0.566482,0.662805,1,0.43556,0.67879,0.343428,0
0.892852,0.071237,0,0.002108,0.039229,1,1
0.903155,0.050681,0,0.12304,0.043018,0.907488,1
0.91975,0.042105,0,0.11097,0.046487,0.895258,1
0.874493,0.097279,0,0.152576,0.027643,0.889504,1
0.925108,0.043012,0,0.086938,0.023451,0.957169,1
0.736346,0.526371,1,0.273259,0.55735,0.468895,1
0.702152,0.556282,1,0.348658,0.583803,0.485197,1
0.72623,0.539898,1,0.262437,0.568679,0.522027,1
0.877456,0.095315,0,0.110129,0.040099,0.912141,1
0.873211,0.077058,0,0.132262,0.05503,0.885372,1
0.898461,0.034025,0,0.143771,0.064043,0.877449,1
0.891998,0.038432,0,0.130062,0.060368,0.911341,1
0.917165,0.068371,0.000001,0.037028,0.034062,0.932052,0
0.892486,0.08103,1,0.083426,0.031805,0.908287,0
0.890643,0.052475,1,0.119737,0.054002,0.89411,0
0.893905,0.083387,0.000001,0.099136,0.017744,0.945262,1
0.886494,0.084227,0,0.119467,0.042289,0.894515,1
0.902255,0.072024,0,0.096035,0.022788,0.918138,1
0.889643,0.107001,0,0.093902,0,0.903494,1
0.162426,0.915389,0,0.742989,0.91631,0.114684,1
0.207952,0.891424,0,0.729907,0.893097,0.145768,1
0.157081,0.924794,0,0.816902,0.922491,0.097008,1
0.239923,0.874121,0,0.735403,0.876006,0.087717,1
0,1,0,1,1,0,1
0.536397,0.680574,0.000002,0.467232,0.697919,0.391358,0
0.584668,0.638758,1,0.400467,0.660578,0.362727,0
0.623893,0.608558,1,0.370111,0.632948,0.375266,0
0.612081,0.604564,1,0.366787,0.59843,0.530702,0
0.733629,0.532003,0,0.200204,0.561919,0.506157,0
0.586101,0.644466,1,0.395974,0.663168,0.389045,0
0.688161,0.571707,1,0.31284,0.596922,0.480546,0
0.664713,0.590254,1,0.292373,0.613286,0.423946,0
0.665502,0.592727,1,0.283521,0.615125,0.41791,0
0.87918,0.0873,0,0.043007,0.081032,0.935468,0
0.8637,0.078725,1,0.069925,0.094983,0.903598,0
0.855808,0.097829,1,0.135417,0.083586,0.887557,0
0.901526,0,1,0.093178,0.098483,0.927833,0
0.574506,0.655993,0,0.4093,0.673794,0.303983,0
0.493422,0.716855,0,0.515023,0.727722,0.220507,0
0.576561,0.661273,0,0.413546,0.676327,0.294296,0
0.601275,0.63873,0,0.386019,0.656965,0.375403,0
