@relation Dataset_T2_16d_PCA_BIN-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 numeric
@attribute V9 numeric
@attribute V10 numeric
@attribute V11 numeric
@attribute V12 numeric
@attribute V13 numeric
@attribute V14 numeric
@attribute V15 numeric
@attribute V16 numeric
@attribute label {0,1}

@data
0.260988,0.826528,0.210103,0.470577,0.593002,0.381935,0.458493,0.344107,0.523308,0.621893,0.604046,0.357733,0.58412,0.376687,0.794941,0.409742,0
0.233359,0.782034,0.226732,0.478819,0.4804,0,0.685157,0.685567,0.447474,0.611081,0.618326,0.507565,0.537036,0.399269,0.41717,0.446844,0
0.249309,0.786109,0.414174,0.179464,0.526134,0.458629,0,0.500559,0.512085,0.569053,0.488222,0.744939,0.938358,0.799889,0.891568,0.589861,0
0.232988,0.75505,0.365436,0.254315,0.524833,0.431993,0.281201,0.671888,0.359328,0.665048,0.649992,0.596933,0.906936,0.323133,0.646357,0.432986,0
0.15495,0.654312,0.382895,0.201154,0.525535,0.473347,0.231458,0.470931,0.360828,0.553046,0.518425,0.673369,0.813054,0.314961,0.579804,0.425388,0
0.143386,0.654119,0.310623,0.281378,0.615041,0.347721,0.521125,0.173801,0.573557,0.720084,0.581101,0.65062,0.377893,0.378397,0.488941,0.517787,0
0.322265,0.897449,0.352178,0.352133,0.654457,0.490558,0.484537,0.164569,0.426616,0.72533,0.49621,0.579591,0.557264,0.287989,0.582568,0.43678,0
0.305242,0.916231,0.21276,0.523235,0.612191,0.198224,0.487068,0.451037,0.492468,0.297392,0.422558,0.142607,0.531668,0.391648,0.722179,0.425394,0
0.28656,0.880659,0.132058,0.616365,0.543668,0.120547,0.474776,0.52463,0.418004,0.415652,0.516572,0.363474,0.33696,0.291082,0.752378,0.291049,0
0.265919,0.833745,0.138607,0.639908,0.454665,0.208474,0.630108,0.472792,0.485891,0.178918,0.747746,0.434763,0.658671,0.414374,0.485359,0.334061,0
0.218451,0.791562,0.134922,0.60267,0.551192,0.121019,0.498719,0.27446,0.389114,0.454,0.567754,0.364331,0.407935,0.391498,0.629482,0.494885,0
0.218476,0.731276,0.319371,0.389691,0.383779,0.288261,0.503736,0.271562,0.528218,0.175827,1,0.474198,0.471728,0.621884,0.528188,0.700061,0
0.285927,0.870365,0.416734,0.260012,0.668376,0.461384,0.448943,0.396736,0.668183,0.579324,0.512643,0.32621,0.561044,0.459941,0.694871,0.254836,1
0.238207,0.825811,0.361778,0.309228,0.660429,0.335347,0.484663,0.513044,0.77591,0.564276,0.482648,0.467132,0.716415,0.335254,0.807218,0.314184,1
0.204098,0.767634,0.347572,0.272938,0.603287,0.261341,0.511381,0.512808,0.590792,0.567692,0.648552,0.486502,0.671636,0.423724,0.443969,0.302635,1
0.158309,0.607895,0.442425,0.171305,0.474923,0.196093,0.602319,0.399767,0.643144,0.685611,0.558483,0.660511,0.291478,0.28239,0.659851,0.421702,1
0.383802,0.827987,0.330952,0.450785,0.363519,0.700656,0.667746,0.219802,0.58565,0.762097,0.517887,0.441804,0.432427,0.305629,0.658684,0.352561,1
0.287028,0.720342,0.325634,0.417026,0.431927,0.744164,0.748082,0.34027,0.59541,0.619839,0.316405,1,0.183121,0.280795,0.665536,0.04761,1
0.318712,0.849451,0.397294,0.305926,0.509476,0.555789,0.589413,0.287463,0.53675,0.467884,0.905109,0.571652,0.824289,0.428062,0.683796,0.458673,0
0.256934,0.785907,0.31534,0.352248,0.608035,0.454516,0.552372,0.463389,0.389172,0.793364,0.712494,0.52805,0.660621,0.411587,0.545333,0.321832,0
