@relation Dataset_T2_16d_CFS_BIN-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute original_glrlm_RunLengthNonUniformity numeric
@attribute log_sigma_1_0_mm_3D_firstorder_Kurtosis numeric
@attribute log_sigma_1_0_mm_3D_glcm_InverseVariance numeric
@attribute log_sigma_1_0_mm_3D_glrlm_LongRunEmphasis numeric
@attribute log_sigma_1_5_mm_3D_firstorder_Kurtosis numeric
@attribute log_sigma_1_5_mm_3D_firstorder_Skewness numeric
@attribute log_sigma_1_5_mm_3D_gldm_LargeDependenceHighGrayLevelEmphasis numeric
@attribute log_sigma_1_5_mm_3D_gldm_SmallDependenceHighGrayLevelEmphasis numeric
@attribute log_sigma_2_0_mm_3D_firstorder_Maximum numeric
@attribute log_sigma_2_0_mm_3D_glcm_Imc1 numeric
@attribute log_sigma_2_0_mm_3D_glszm_HighGrayLevelZoneEmphasis numeric
@attribute log_sigma_2_5_mm_3D_glcm_Imc1 numeric
@attribute log_sigma_2_5_mm_3D_gldm_SmallDependenceHighGrayLevelEmphasis numeric
@attribute log_sigma_2_5_mm_3D_glszm_ZoneEntropy numeric
@attribute log_sigma_3_0_mm_3D_firstorder_MeanAbsoluteDeviation numeric
@attribute log_sigma_3_0_mm_3D_glcm_Correlation numeric
@attribute label {0,1}

@data
0.003819,0.117274,0.513951,0.353181,0.046038,0.254308,0.131832,0.134249,0.045054,0.526304,0.274824,0.479455,0.099582,0.580684,0.078315,0.486933,1
0.012536,0.781706,0.735587,0.437867,0.50355,0.961352,0.233334,0.020683,0.133134,0.468845,0.048027,0.477325,0.047941,0.320162,0.144403,0.662538,0
0.009351,0.852096,0.593506,0.54483,0.613305,1,0.221313,0.055255,0.149969,0.37633,0.078045,0.322582,0.057215,0.380425,0.149816,0.802877,0
0.010316,0.692904,0.800807,0.417379,0.612712,0.843768,0.203195,0.025558,0.126099,0.422915,0.168096,0.327195,0.036803,0.305857,0.12163,0.768095,0
0.011384,0.315525,0.698137,0.371812,0.309638,0.523951,0.166339,0.070325,0.119466,0.54342,0.20504,0.416367,0.072234,0.598646,0.097592,0.742916,0
0.005202,0.249129,0.644764,0.492382,0.213337,0.431682,0.149388,0.059555,0.066676,0.520934,0.144082,0.460554,0.089688,0.346608,0.081431,0.696577,0
0.032387,0.634822,0.555103,0.350782,0.418807,0.801543,0.186043,0.049153,0.132522,0.297608,0.162093,0.17482,0.071953,0.68257,0.204856,0.821054,0
0.023899,0.330837,0.511239,0.398911,0.322182,0.694763,0.149704,0.079999,0.128918,0.388366,0.198113,0.301116,0.053747,0.612078,0.19748,0.77213,0
0.022778,0.27992,0.491312,0.526449,0.277788,0.526793,0.167515,0.010164,0.12035,0.297335,0.216123,0.245816,0.022686,0.628945,0.165722,0.795001,0
0.011385,0.169134,0.397051,0.683479,0.214871,0.444112,0.143112,0.0493,0.117175,0.314053,0.273756,0.381273,0.033231,0.687405,0.144494,0.655636,0
0.008878,0.250313,0.529706,0.435739,0.343382,0.426035,0.128024,0.122048,0.163221,0.617258,0.216123,0.55349,0.084187,0.487469,0.145625,0.470575,0
0.006474,0.466184,0.774719,0.126548,0.333062,0.586148,0.205076,0.078155,0.110738,0.27521,0.1756,0.086253,0.048092,0.489801,0.125213,0.826674,0
0.009025,0.34492,0.615815,0.361442,0.340869,0.673528,0.170832,0.094268,0.102209,0.369059,0.260457,0.199937,0.054483,0.557658,0.129805,0.830062,0
0.010317,0.183561,0.838897,0.233819,0.269852,0.35576,0.152215,0.043946,0.080982,0.534687,0.198113,0.376374,0.068528,0.380957,0.114425,0.764992,0
0.006258,0.211913,0.662274,0.282358,0.271728,0.464714,0.137196,0.070376,0.108234,0.410912,0.22813,0.310436,0.067177,0.461921,0.118566,0.726272,0
0.006987,0.29614,0.458568,0.372494,0.295427,0.472588,0.130918,0.12553,0.132025,0.358399,0.189927,0.222202,0.075408,0.44018,0.147861,0.7572,0
0.011858,0.202763,0.569326,0.43005,0.145268,0.392414,0.114074,0.06909,0.049732,0.500318,0.220626,0.415309,0.067789,0.46926,0.073453,0.547941,1
0.011193,0.082827,0.612437,0.505343,0.145999,0.383991,0.082088,0.107196,0.045719,0.748215,0.273756,0.617587,0.067162,0.666142,0.056323,0.457222,1
0.011703,0.021232,0.593823,0.69628,0.005057,0.247268,0.11815,0.069861,0.040049,0.586732,0.24494,0.63576,0.086589,0.552539,0.047763,0.322598,1
0.008094,0.110239,0.356597,0.674536,0.089556,0.17532,0.102105,0.07986,0.024015,0.536778,0.245788,0.563388,0.071979,0.609919,0.048943,0.354322,1
0.006281,0.512541,0.641206,0.236058,0.425083,0.482094,0.275677,0.091665,0.10065,0.387115,0.153087,0.368036,0.091423,0.317291,0.118704,0.744334,1
0.007059,0.418036,0.753798,0.201909,0.371524,0.394284,0.264637,0.068274,0.086672,0.405365,0.144082,0.224673,0.076807,0.389359,0.11063,0.8686,1
0.006865,0.365144,0.680593,0.215449,0.299559,0.419849,0.241335,0.056997,0.085283,0.450285,0.139845,0.354481,0.077137,0.40195,0.112997,0.813304,1
0.007171,0.126648,0.688842,0.222133,0.154192,0.203799,0.196103,0.060374,0.077845,0.507319,0.172899,0.439884,0.086118,0.507562,0.100145,0.697556,1
0.006182,0.287949,0.555297,0.354791,0.180963,0.106139,0.195574,0.083557,0.076945,0.422984,0.269206,0.323972,0.116845,0.481477,0.120109,0.701088,1
0.008216,0.434361,0.586095,0.507248,0.387415,0.836455,0.154439,0.034892,0.126232,0.32339,0.188107,0.303973,0.057362,0.679039,0.138971,0.707086,1
0.047091,0.400575,0.770951,0.549618,0.344988,0.557235,0.128578,0.028239,0.136324,0.30323,0.224599,0.206015,0.02624,0.552708,0.15486,0.818049,1
0.013508,0.343597,0.709285,0.634205,0.471644,0.507358,0.149128,0.031968,0.14082,0.498777,0.224599,0.453189,0.061691,0.560907,0.104531,0.63916,1
0.009776,0.323046,0.66859,0.745612,0.384766,0.348652,0.129338,0.017198,0.122622,0.467597,0.253859,0.356484,0.051899,0.546677,0.100134,0.624705,1
0.014459,0.253205,0.560153,0.688452,0.271863,0.169285,0.143594,0.016599,0.115322,0.469738,0.216123,0.539309,0.04192,0.372418,0.110196,0.450459,1
